Savol va javoblar,QIYINLIK DARAJASI,SHABLONNING NOMERI,TA’LIM  NATIJALARI,TEMATIK TA’LIM NATIJALARI
совокупностью закономерных физиологических и психологических изменений;,,,,
Какова ведущая деятельность в подростковом возрасте?,2.0,11.0,,
"люди, на которых он хочет быть похож;",,,,
"люди, с которыми он конфликтует;",,,,
родители и близкие.,,,,
близкие и равестники,,,,
Что являются основными качествами манипулятора?,2.0,11.0,,
все ответы верны,,,,
примитивность чувств,,,,
лживость,,,,
недоверие к себе и другим,,,,
Что являются особенностями невербального общения?,2.0,11.0,,
все ответы верны,,,,
его проявление обусловлено импульсами нашего подсознания,,,,
отсутствие возможности подделать эти импульсы,,,,
"его проявлениям доверяют больше, чем вербальному каналу общения",,,,
Каков нижний качественный предел малой группы?,2.0,11.0,,
2 человек,,,,
10 человек,,,,
12 человек,,,,
5 человек,,,,
Как влияют технические средства в достижении эффективности коммуникаций?,2.0,11.0,,
повышают оперативность в заключении контрактов,,,,
устраняют психологические последствия нежелательных личных контактов,,,,
затрудняют контакты,,,,
коммуникативное отношения,,,,
К каким барьерам относится неправильное отношение в процессе общения членов группы?,2.0,11.0,,
социально-психологическим ,,,,
организационно-психологическим,,,,
неправильных установок сознания,,,,
некоммуникабельност,,,,
Какое влияние оказывает мотивация на групповое поведение человека?,2.0,11.0,,
повышает эффективность деятельности,,,,
определяет групповое мнение,,,,
разобщает групповые интересы,,,,
интересы человека,,,,
Как называется система групповых ожиданий и требований относительно исполнения индивидом социальных ролей?,2.0,11.0,,
экспектацией,,,,
установкой,,,,
позицией,,,,
стремление,,,,
"Как называется риск в принятии управленческого решения, рассчитанный на ситуативные преимущества стороны, принимающей это решение?",2.0,12.0,,
мотивированным,,,,
целенаправленным,,,,
конформным,,,,
индивидуальным,,,,
Чем являются навыки и умения в структуре личности?,2.0,12.0,,
психическими образованиями ,,,,
психическими процессами,,,,
психическими состояниями,,,,
психическими навыками,,,,
"Какой компетентностью называется владение руководителем приемами личностного саморазвития, самовыражения, самореализации?",2.0,12.0,,
личностной,,,,
специальной,,,,
организационно-методической,,,,
коллективный,,,,
"Какой арсенал психологии высшего образования включает в себя практически весь набор методов, процедур и частных методик исследования, обследования или психологического воздействия, которые используются во всех отраслях или разделах психологической науки?",2.0,12.0,,
методический ,,,,
аксиоматический,,,,
практический,,,,
практический- аксиоматический,,,,
С чем связан студенческий этап развития жизни челочека с социальной точки зрения?,2.0,12.0,,
с формированием относительной экономической самостоятельности,,,,
с отходом от родительского дома,,,,
с формированием семьи,,,,
все ответы верны,,,,
В каком году дали название тестам для измерения интеллектуального уровня IQ?,2.0,12.0,,
1910,,,,
1915,,,,
1912,,,,
1920,,,,
"К какому функцию виды относится описание: «возможно тогда, когда каждый участник имеет образ собеседника, знает его личностные особенности, может предвидеть его реакции, учитывает интересы и убеждения партнера""?",2.0,12.0,,
манипулятивное общение,,,,
современное общение,,,,
"духовное, межличностное общение",,,,
светское общение,,,,
"Кто действует в рамках новой концепции мышления, будет исследовать влияние любых действий с точки зрения их последствий для состояния равновесия?",2.0,12.0,,
менеджер,,,,
рабочий,,,,
потребитель,,,,
профессионал,,,,
Что из нижеперечисленного является важнейшим фактором для эффективности любой организаии?,2.0,12.0,,
благоприятная деловая окружающая среда,,,,
оптимальная стратегии организации,,,,
качество человеческих (особенно управленческих) ресурсов,,,,
все ответы верны,,,,
"К какому закону динамики психологических процессов относится следующее описание: закон устанавливает, что разные люди, и даже один человек, в разное время могут по-разному реагировать на одинаковые воздействия?",2.0,12.0,,
закон неадекватности самооценки,,,,
закон неопределенности отклика,,,,
закон неадекватности отображения человека человеком,,,,
отображения человека человеком,,,,
Опишите закон расщепления смысла управленческой информации?,2.0,13.0,,
объективная тенденция к изменению смысла директивной и иной информации в процессе ее движения по иерархической лестнице управления,,,,
"психика человека представляет собой органичное единство двух составляющих: осознанного (логическомыслительного) и неосознанного (эмоционально-чувственного, интуитивного), составляя как бы надводную (видимую) и подводную (скрытую) части айсберга",,,,
"при высоком уровне стимуляции к труду и высоких требованиях организационного окружения к человеку, нехватка каких-либо способностей для успешной конкретной деятельности возмещается другими способностями или навыками",,,,
составляя как бы надводную (видимую) и подводную (скрытую) части айсберга,,,,
"Какой подход рассматривает человека как субъекта труда с оценкой и формированием пригодности человека для конкретной деятельности или видов деятельности и предусматривает психологическое, физиологическое, медицинское и другое обеспечение процесса формирования профессионала в определенной деятельности?",2.0,13.0,,
профессиоцентрический подход,,,,
альтерцентрический подход,,,,
антропоцентрический подход,,,,
индивидуальный подход,,,,
"К какой адаптации подходит описание: процесс становления равновесия в системе «человек - профессиональная среда», которое проявляется в эффективности и качестве труда, в удовлетворенности человека процессом труда, его результатом, собой как профессионалом, взаимоотношениями в коллективе?",2.0,13.0,,
социальной,,,,
профессиональной,,,,
практической,,,,
умение и навыки,,,,
Что является профессионально-специфическим интересом?,2.0,13.0,,
"интерес к предметам, направленный на процессы труда, характеризующие ее основные функции, а также к результатам, выраженным в созданных продуктах, предоставляемых услугах и т. п.",,,,
базируется на представлении о необычности данной профессии,,,,
"интерес формируется на основе случайных, нетипичных для данной профессии признаков и объясняется узостью профессионального кругозора оптанта",,,,
"выражается в созданных продуктах, предоставляемых услугах и т. п.",,,,
Как можно описать интерес престижа? ,2.0,13.0,,
интерес сопутствующих возможностей,,,,
интерес к самовоспитанию,,,,
"выбор профессии обусловлен перспективами профессионального роста, эта профессия обеспечивает, престижности профессии в обществе",,,,
романтический интерес,,,,
Сколько типов мотивации выбора профессии? ,2.0,13.0,,
3,,,,
5,,,,
2,,,,
4,,,,
"К каким свойствам относятся точность и стабильность движений, скоростные параметры действий?",2.0,13.0,,
физиологическим,,,,
психомоторным свойствам,,,,
сенсорно-перцептивным,,,,
психологическим,,,,
"Чем является повторяющееся общение на двух уровнях, когда человек изображает одно, на деле имеет ввиду совсем другое, например, разговор врача и пациента?",2.0,13.0,,
развлечения ,,,,
ритуалы ,,,,
близость,,,,
игры ,,,,
Чем характеризуется общение?,2.0,13.0,,
содержанием,,,,
функциями ,,,,
средствами,,,,
все ответы верны,,,,
Что такое профессиональное самоопределение?,2.0,13.0,,
"осознанный выбор профессии с учетом своих особенностей и возможностей, требований профессиональной деятельности и социально-экономических условий",,,,
"важная характеристика социально-психологической зрелости личности, ее потребности в самореализации и самоактуализации",,,,
избирательное отношение индивида к миру профессий в целом и к конкретной выбранной профессии,,,,
требований профессиональной деятельности и социально-экономических условий,,,,
"К какому функцию общения относится описание: ""развитие людей и формирование новых отношений между ними""?",2.0,14.0,,
креативная ,,,,
когнитивная ,,,,
эмотивная ,,,,
информационная,,,,
Что из себя представляет Сила «Я»?,2.0,14.0,,
"понимается поведенческая особенность, характеризующаяся позитивными устойчивыми усилиями, направленными на улучшение ситуации.",,,,
"В основном изучаются трудности в эмоциональном выражении, которые имеют два аспекта.",,,,
"представляется как механизм, связывающий психосоциальное влияние со здоровьем. Она может влиять на физиологическую систему, опосредующую здоровое функционирование.",,,,
направленными на улучшение ситуации.,,,,
Сколько позитивных факторных потенциалов психологии здоровья?,2.0,14.0,,
7,,,,
8,,,,
9,,,,
6,,,,
"К какому потенциалу относится следующие методы: гуманистически-ориентированной психотерапии, группы личностного роста, модели построения, реализации целей и перенацеливания?",2.0,14.0,,
потенциал тела,,,,
потенциал разума,,,,
потенциал воли,,,,
духовный потенциал,,,,
"Что является признаком, характеризующим понятие «тест»?",2.0,14.0,,
валидность,,,,
конформность,,,,
аттрактивность,,,,
ассоциативность,,,,
Что лежит в основе привычек?,2.0,14.0,,
потребность,,,,
желание,,,,
характер,,,,
мотивация,,,,
Что является основным фактором развития человека в современном обществе?,2.0,14.0,,
Адаптация к социальной среде,,,,
Биологическая борьба за существование,,,,
Изменения природной среды,,,,
Компьютерная грамотность,,,,
Чем характеризуется воображение?,2.0,14.0,,
"Созданием образов, основанных на ранее сформированных представлениях",,,,
Отражением в человеческом сознании целостных образов предметов и явлений действительности,,,,
"Идеями и решениями, которые отличаются новизной и уникальностью",,,,
"Особым состоянием, основанном на желании идеального будущего",,,,
Какую характеристику педагогики как науки можно назвать специфичной?,2.0,14.0,,
Она устанавливает законы и принципы эффективного обучения и воспитания,,,,
Она имеет дело с подрастающим поколением,,,,
Она является наукой о воспитании,,,,
"Она связана с науками, изучающими человека",,,,
Что влияет на отбор целей образования в современном обществе?,2.0,14.0,,
Социальный запрос государства и общества,,,,
Интересы государственной власти,,,,
Экономическое развитие страны,,,,
Уровень жизни населения страны,,,,
Что является предметом педагогики как науки?,2.0,15.0,,
Целенаправленно организуемый педагогический процесс,,,,
Ученик как субъект взаимодействия с учителем,,,,
Образовательные системы,,,,
Развитие личности,,,,
"К каким методам относится зачет, как метод обучения?",2.0,15.0,,
усвоения-воспроизведения,,,,
поощрения,,,,
формирования познании,,,,
развитие сознание,,,,
В чем воплощается соответствие учебного материала уровню подготовленности обучаемых?,2.0,15.0,,
в принципе доступности обучения,,,,
в количестве обращений учеников к учителю,,,,
в качестве подготовки педагога по данному предмету,,,,
межличностное отношения,,,,
"Что такое поощрение, как метод педагогического воздействия?",2.0,15.0,,
выражение положительной оценки действий воспитанников,,,,
выражение отрицательной оценки действий воспитанников,,,,
предупреждение нежелательных поступков,,,,
самовоспитание воспитанников,,,,
Что изучает детская психология?,2.0,15.0,,
онтогенез психики развивающегося человека,,,,
филогенез психики развивающегося человека,,,,
психологию трудовой деятельности,,,,
развитие психики человека,,,,
Что характерно для классно-урочной системы обучения?,2.0,15.0,,
планирование обучения,,,,
занятия с выездом в другие учебные заведения,,,,
проведение занятий на свежем воздухе,,,,
проведение занятий на классе,,,,
Какие методы обучения применяют на этапе восприятия — усвоения?,2.0,15.0,,
объяснение,,,,
контроль знаний,,,,
заполнения конспекта,,,,
тестирование,,,,
Способность человека удерживать в центре внимания определенное число разнородных объектов одновременно называется:,2.0,15.0,,
распределением внимания,,,,
устойчивостью внимания,,,,
концентрацией внимания,,,,
обьём внимания,,,,
Что является одним из основных занятий лидера?,2.0,15.0,,
принятие решения,,,,
поедание сабмиссивов,,,,
выполнение поставленной задачи,,,,
задавайте правильный тип вопросов и ответов,,,,
"Что является одним из самых сложных аспектов работы, то есть работа с людьми, в которой важна психологическая подготовка руководителя?",2.0,15.0,,
лидерская деятельность,,,,
покорная деятельность,,,,
действие методов контроля,,,,
психологический менеджмент,,,,
На что непосредственно ориентирован учебный процесс?,2.0,16.0,,
"овладеть определенными формами информации, действий, поведения",,,,
"информационные технологии, стратегия действий",,,,
"формы поведения, направление изменения информации",,,,
"конкретные действия, информация, стратегии",,,,
Как проходит процесс отбора?,2.0,16.0,,
Психологическая диагностика человека по профессии и рекомендация персонала к конкретной профессиональной деятельности,,,,
психологическое наблюдение за деятельностью человека,,,,
Осуществление психокоррекционной работы в процессе профессионального обучения,,,,
Психологическая диагностика человека по профессии и психологическое наблюдение за деятельностью человека,,,,
Сколько основных типов обучения выделяют согласно теории П. Я. Гальперина?,2.0,16.0,,
3,,,,
2,,,,
4,,,,
5,,,,
Каково психологическое сопровождение деятельности?,2.0,16.0,,
проводить психологическую коррекционную работу в процессе психологического мониторинга и профессиональной подготовки человека.,,,,
психологическая диагностика человека по профессии,,,,
рекомендации персонала к определенной профессиональной деятельности,,,,
нет правильного ответа,,,,
Какого учебный процесс?,2.0,16.0,,
отдельно организованные и управляемые мероприятия,,,,
сформирован среди студентов,,,,
процесс общения между учителем и учеником,,,,
"мероприятия, которые организуют и формируют обучение с учащимися",,,,
Можно ли по определенным специалистам определить пригодность человека к той или иной профессии и при этом помочь решить проблему трудоустройства?,2.0,16.0,,
Трудовая экспертиза,,,,
Профессиональная методология,,,,
Решение карьерных проблем,,,,
Методология работы,,,,
Какие элементы образовательного процесса?,2.0,16.0,,
"Цель обучения, содержание обучения, методы обучения, приемы и способы педагогического общения, воспитатель (учитель) и ученик (ученик)",,,,
"формы обучения, педагогические и психологические формы обучения",,,,
"способы общения, методы обучения, структуры учебного процесса",,,,
"Педагогические цели и методы обучения, методы общения преподавателя и ученика.",,,,
Каковы этапы познания теории П.Я. Гальперина?,2.0,16.0,,
6,,,,
7,,,,
4,,,,
2,,,,
Какие типы интересов по психологии выделяются в деятельности студентов в учебном процессе?,2.0,16.0,,
"2 типа, прямой интерес и косвенный интерес",,,,
"3 типа, прямой интерес и косвенный интерес, интерес, основанный на потребностях",,,,
"4 типа, интерес, основанный на потребностях, мотивационный, прямой интерес и косвенный интерес",,,,
"5 типа, прямой интерес и косвенный интерес, интерес, основанный на потребностях",,,,
Какова одна из важнейших функций нервной системы человека?,2.0,16.0,,
память,,,,
послушание,,,,
нерв,,,,
сердечное заболевание,,,,
"Что может вызвать физическое и умственное напряжение, чрезмерную умственную работу, переутомление, хроническую бессонницу, хронический стресс, инсульт, болезни сердца?",2.0,17.0,,
Потеря памяти,,,,
Укрепить память,,,,
Развитие сердечно-сосудистых заболеваний,,,,
Нарушения функции мозга,,,,
"Определите продукты, которые помогают укрепить память?",2.0,17.0,,
"Бананы, мята, мёд, морковь, грецкие орехи",,,,
"Банан, смородина, лимон",,,,
"Мята, тимьян, наматак",,,,
"Лимон, айва, морковь",,,,
"Какие чувства являются рецепторами, приспособленными для отражения свойств вещей и событий во внешней среде?",2.0,17.0,,
Экстратериоцептивные ощущения,,,,
интерцептивные ощущения,,,,
проприоцептивные ощущения,,,,
Все ответы верны,,,,
Какие чувства отражают состояние внутренних органов человеческого тела?,2.0,17.0,,
интерцептивные ощущения,,,,
внеземные ощущения,,,,
проприоцептивные ощущения,,,,
Все ответы верны,,,,
Какие чувства связывают различные состояния и движения человеческого тела и тела с мышцами?,2.0,17.0,,
проприоцептивные ощущения,,,,
интерцептивные ощущения,,,,
внеземные ощущения,,,,
Все ответы верны,,,,
Какая частота звуковых волн?,2.0,17.0,,
От 16 до 20 000 ,,,,
От 17 до 21 000,,,,
от 10 до 16 000 ,,,,
от 20 до 25 000 ,,,,
"Какова форма человеческого знания и что позволяет нам одновременно представлять объект, который нам нужен, с его свойствами и характеристиками среди множества различных существующих объектов и явлений?",2.0,17.0,,
восприятие,,,,
мозг,,,,
Навыки и впечатления,,,,
Набор знаний,,,,
Что отражает сосредоточение ума человека на объектах и ​​событиях?,2.0,17.0,,
внимание,,,,
восприятие,,,,
мозг,,,,
Знание,,,,
В области анализа определяется разделение и анализ качеств и свойств мысли по отношению к объектам и событиям в операциях мышления?,2.0,17.0,,
анализ,,,,
синтез,,,,
сравнение,,,,
обобщение,,,,
Сколько существует категорий человеческих устремлений и какие они?,2.0,17.0,,
"2, стремление к успеху и избегание поражения",,,,
"3, стремление к успеху, избегание поражений и эффективная работа над собой",,,,
"1, стремление к жизни",,,,
"2, взгляд в будущее и забвение прошлого",,,,
Каковы характеристики представителей социального типа в профессиональной категории?,2.0,18.0,,
"Специалисты этой категории более гуманны, эмоциональны, активны и более привержены социальным нормам.",,,,
тесно связан с общественной жизнью,,,,
работает над собой с реалистичным взглядом на жизнь,,,,
использует социальные классы в профессиональной зрелости,,,,
"Что такое классификация различных объективных характеристик профессии, то есть включение материалов, связанных с интересами, склонностями, желаниями, самооценкой, престижем и т. д. Человека, направленная на выбор профессии?",2.0,18.0,,
Профессиограмма,,,,
Интеллектуальные качества человека,,,,
Морально-волевые качества,,,,
Личные качества учителя,,,,
"Как называются обстоятельства, которые вызывают стресс?",2.0,18.0,,
стресс-фактор ,,,,
стресс-здоровья,,,,
депрессия,,,,
проявления депрессий,,,,
На какие группы можно разделить причины психологического стресса?,2.0,18.0,,
"Внешние, Внутренние факторы ",,,,
мышления финансовые проблемы; категоричность,,,,
проявления депрессий; психической травмой,,,,
психической травмой; депрессия.,,,,
На какие группы делятся виды конфликтов по характеру?,2.0,18.0,,
"объективные, субъективные.",,,,
"конструктивные, деструктивные.",,,,
"деструктивные, субъективные",,,,
все причины.,,,,
С чем связаны педагогические конфликты?,2.0,18.0,,
процессом обучения и воспитания.,,,,
процессом работы,,,,
процессом отношение,,,,
процессом здоровья,,,,
"Чем служит язык, как система знаков?",2.0,18.0,,
средством общения,,,,
средством здоровья,,,,
средством депрессии,,,,
уровень манипуляции  ,,,,
"В каком веке появилась идея о том, что можно измерить интеллектуальный уровень человека?",2.0,18.0,,
19 веке,,,,
21 веке,,,,
17 веке,,,,
20 веке. ,,,,
Психодиагностика это?,2.0,18.0,,
это область психологической науки,,,,
депрессия,,,,
решения о возможностях воздействия,,,,
все ответы правильны.,,,,
Что такое диспут?,2.0,18.0,,
публичный спор,,,,
общая работа,,,,
"события, занятия",,,,
формирование системы,,,,
Чем являются мероприятия?,3.0,19.0,,
"событиями, занятиями",,,,
публичными спорами,,,,
общая работа,,,,
формирование системы,,,,
Чем являются дела?,3.0,19.0,,
общими работами,,,,
формированием системы,,,,
публичным спором,,,,
"событиями, занятиями",,,,
Что такое потребность?,3.0,19.0,,
состояние нужды,,,,
побуждение.,,,,
самостоятельный мотив,,,,
процесс воздействия на человека,,,,
Что такое интерес?,3.0,19.0,,
избирательное отношение личности к объекту,,,,
процесс воздействия на человека,,,,
самостоятельный мотив,,,,
состояние нужды,,,,
Чем является мотивирование?,3.0,19.0,,
процесс воздействия на человека,,,,
состояние нужды,,,,
самостоятельный мотив,,,,
избирательное отношение личности к объекту,,,,
Что такое способности?,3.0,19.0,,
устойчивые свойства и качества людей,,,,
"устойчивые особенности поведения человека,",,,,
формироваться и развиваться способности,,,,
неравенство людей,,,,
Какие направления деятельности включает в себя Социально-психологическое управление?,3.0,19.0,,
1) социальное 2) психологическое.,,,,
1) биографические 2) психологическое.,,,,
1) экономическое 2) юридическое,,,,
1) свойства 2) качества,,,,
"Что влияет на умственное развитие учащихся, может ускорить прохождение соответствующих этапов этого развития или даже видоизменить их последовательность?",3.0,19.0,,
обучение,,,,
практика,,,,
мысль,,,,
чувства,,,,
"Наряду с каким контролем большое значение имеет самоконтроль и самооценка, когда учащийся самостоятельно контролирует ход своей работы, сопоставляя получаемый результат с образцом и, если это необходимо, его корректируя?",3.0,19.0,,
внешним,,,,
внутренним,,,,
главным,,,,
нет верного ответа,,,,
Когда наступает кризис 7 лет?,3.0,19.0,,
в школьном возрасте,,,,
в дошкольном возрасте,,,,
в пубертатном возрасте,,,,
в раннем детстве,,,,
Когда происходит стадия развития формального мышления?,3.0,20.0,,
с 11–12 лет,,,,
с 7–8 до 11–12 лет,,,,
от 4 до 7–8 лет,,,,
"от 1,5 до 2 лет",,,,
К какому состоянию души соответствует период до 7 лет по мнению Аристотеля?,3.0,20.0,,
растительному состоянию души,,,,
животному состоянию души,,,,
разумному состоянию души,,,,
инстиктному состоянию души,,,,
Какие игры являются ведущей деятельностью дошкольника?,3.0,20.0,,
все ответы верны,,,,
сюжетные,,,,
творческие,,,,
ролевые,,,,
"Что является побуждением, вызывающие активность организма и определяющие ее направленность?",3.0,20.0,,
мотивация,,,,
лень,,,,
дисциплина,,,,
страх,,,,
Какие личностные качества студентов технических вузов можно рассматривать как специальные способности?,3.0,20.0,,
все ответы верны,,,,
смелость поведения,,,,
критичность ума,,,,
общительность,,,,
"Какое преобразование информации осуществляется с помощью понятий, суждений, умозаключений?",3.0,20.0,,
знаковое мышление,,,,
предметное мышление,,,,
символическое мышление,,,,
образное мышление,,,,
Что является основной задачей психологии?,3.0,20.0,,
изучение законов психической деятельности,,,,
коррекция социальных норм поведения,,,,
разработка проблем истории психологии,,,,
совершенствование методов исследования,,,,
Что является одним из принципов отечественной психологии?,3.0,20.0,,
единство сознания и деятельности,,,,
учёт возрастных особенностей человека,,,,
единство мышления и интуиции,,,,
научение,,,,
Как называется изучение психики посредством общения?,3.0,20.0,,
метод беседы,,,,
тестов,,,,
наблюдения,,,,
анкеты,,,,
В каком веке психология становится самостоятельной и экспериментальной областью научного знания?,3.0,20.0,,
XIX в.,,,,
XX в.,,,,
XVIII в.,,,,
XVI в.,,,,
